"","Louvain_0","Louvain_1","Louvain_2","Louvain_3","Louvain_4","Louvain_5","Louvain_6","Louvain_7","Louvain_8","Louvain_9","Louvain_10","Louvain_11","Louvain_12"
"cl65_i72_Tmem223_Lamp5",0.0071301247771836,0,0.00574712643678161,0,0.0269058295964126,0,0,0,0,0,0,0,0
"cl66_e71_Serpinb11_L6b",0.0053475935828877,0.00229885057471264,0,0,0.00896860986547085,0.194029850746269,0.008,0.0116279069767442,0,0,0.0196078431372549,0,0
"cl69_e70_Depdc7_L5_PT",0.0035650623885918,0.00459770114942529,0.129310344827586,0.012396694214876,0,0,0,0,0,0,0,0,0
"cl70_e70_Abca12_L5_NP",0.0427807486631016,0,0,0.00413223140495868,0,0.0298507462686567,0,0,0,0.0147058823529412,0,0,0
"cl71_e68_Mir153_L23_IT",0.0035650623885918,0.0551724137931034,0,0.0206611570247934,0,0,0,0,0,0,0.0588235294117647,0,0
"cl72_i68_Bach2_Lamp5",0,0,0.0028735632183908,0,0,0,0,0,0,0,0,0,0
"cl74_e68_Napsa_L6b",0.0160427807486631,0.00229885057471264,0,0,0.00448430493273543,0.0895522388059701,0,0,0,0,0.0196078431372549,0,0
"cl76_e66_Pou2f2_L6_IT",0.0017825311942959,0,0,0,0,0,0,0,0,0,0,0,0
"cl77_n66_Rlbp1_Oligo",0.0124777183600713,0.00459770114942529,0.0028735632183908,0,0,0,0,0.0697674418604651,0,0,0.0196078431372549,0,0
"cl78_e65_NA_L5_IT",0.0213903743315508,0,0,0.00826446280991736,0,0,0,0,0,0,0,0,0
"cl79_i65_Tnni3k_Sst",0.0017825311942959,0,0,0.00826446280991736,0,0.0149253731343284,0.024,0,0.0266666666666667,0,0,0,0
"cl8_e168_Adam8_L6_IT",0.017825311942959,0.00919540229885057,0.0028735632183908,0.012396694214876,0.10762331838565,0,0,0,0,0,0.0392156862745098,0,0.0909090909090909
"cl81_e63_Msl2_L6_IT",0.0035650623885918,0,0,0,0.0134529147982063,0,0,0,0,0,0,0,0
"cl82_i63_NA_Vip",0.0017825311942959,0,0,0,0,0,0,0,0,0,0,0.05,0
"cl83_n62_Ccl19_VLMC",0.0035650623885918,0.00919540229885057,0,0.00413223140495868,0.0134529147982063,0.0149253731343284,0,0.0348837209302326,0,0.0147058823529412,0,0,0
"cl84_i62_NA_Lamp5",0.0035650623885918,0,0.0028735632183908,0,0.00448430493273543,0,0,0,0.0133333333333333,0,0,0,0
"cl85_i60_Snai2_Lamp5",0,0,0,0,0,0,0,0,0.04,0,0,0,0
"cl88_i60_NA_Lamp5",0,0,0,0,0,0,0,0,0,0,0,0.025,0
"cl89_i60_Clnk_Lamp5",0,0.00229885057471264,0,0,0.00448430493273543,0,0,0.0116279069767442,0,0,0,0,0
"cl9_i166_Tll1_Pvalb",0.0053475935828877,0.00229885057471264,0,0,0,0,0.008,0,0.0933333333333333,0.102941176470588,0,0.025,0
"cl90_i59_Rom1_Pvalb",0,0,0,0,0,0,0,0,0.0133333333333333,0,0,0,0
"cl91_i59_Slc18a3_Vip",0,0,0,0,0,0,0,0,0,0,0,0.025,0
"cl92_n59_Chil1_Astro",0.0053475935828877,0.00229885057471264,0,0,0.00448430493273543,0.0447761194029851,0,0.0697674418604651,0,0,0.0196078431372549,0,0
"cl93_i58_Sln_Lamp5",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl94_e57_Cyp39a1_L4",0.0017825311942959,0.00229885057471264,0.0028735632183908,0.0165289256198347,0,0,0,0,0,0,0,0,0
"cl95_i57_Atp12a_Lamp5",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl97_i57_Pdyn_Sst",0,0,0,0,0,0,0.016,0,0,0.0147058823529412,0,0,0
"cl98_n56_Cnn1_SMC",0.0017825311942959,0,0,0.00413223140495868,0.00448430493273543,0,0,0.0232558139534884,0,0,0,0,0
"unassigned",0,0,0,0,0,0,0,0,0,0,0,0,0
