clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,,1,2,3,4,5,6,index
Sst Nr2f2 Necab1,0.612745098,14180,16,15,25,2,,Calb1,Spon1,nan,nan,nan,nan,Sst Nr2f2 Necab1&Calb1>=4815.51953125&Spon1>=544.712646484375
Sst Nts,0.714285714,14200,1,22,13,2,,Sst,Th,nan,nan,nan,nan,Sst Nts&Sst>=26394.4140625&Th>=123.95045471191406
Sst Rxfp1 Eya1,0.484848485,14168,11,41,16,3,,Barx2,Cdh13,Egln3,nan,nan,nan,Sst Rxfp1 Eya1&Barx2>=22.902053833007812&Cdh13>=878.5638427734375&Egln3>=25.61221694946289
Sst Rxfp1 Prdm8,0.625,14088,4,104,40,3,,Phactr2,Plch1,Tmtc2,nan,nan,nan,Sst Rxfp1 Prdm8&Phactr2>=17.016353607177734&Plch1>=25.843305587768555&Tmtc2>=27.594329833984375
Sst Tac1 Htr1d,0.525291829,14126,13,70,27,3,,Calb1,Pvalb,Thsd7a,nan,nan,nan,Sst Tac1 Htr1d&Calb1>=5273.63134765625&Pvalb>=9.778414726257324&Thsd7a>=270.3655090332031
Sst Tac1 Tacr3,0.537190083,14176,3,44,13,2,,Moxd1,Pcdh8,nan,nan,nan,nan,Sst Tac1 Tacr3&Moxd1>=75.24031829833984&Pcdh8>=973.2399291992188
Sst Tac2 Myh4,0.568181818,14215,1,15,5,2,,Cdh13,Cdh9,nan,nan,nan,nan,Sst Tac2 Myh4&Cdh13>=1320.2406005859375&Cdh9>=797.7657470703125
Sst Tac2 Tacstd2,0.661764706,14178,2,38,18,3,,Cdh13,Ptprt,Tac2,nan,nan,nan,Sst Tac2 Tacstd2&Cdh13>=800.1919555664062&Ptprt>=321.32855224609375&Tac2>=11.589000701904297
VLMC Osr1 Cd74,0.46875,14222,2,9,3,2,,Bgn,Osr1,nan,nan,nan,nan,VLMC Osr1 Cd74&Bgn>=632.2260131835938&Osr1>=485.9346923828125
VLMC Osr1 Mc5r,0.864661654,14195,0,18,23,2,,Osr1,Vtn,nan,nan,nan,nan,VLMC Osr1 Mc5r&Osr1>=148.40061950683594&Vtn>=2264.5908203125
VLMC Spp1 Col15a1,0.564516129,14220,6,3,7,3,,Bgn,Igf2,Vtn,nan,nan,nan,VLMC Spp1 Col15a1&Bgn>=1113.221923828125&Igf2>=713.29541015625&Vtn>=4040.666015625
VLMC Spp1 Hs3st6,0.833333333,14232,0,2,2,2,,Adamts2,Flt1,nan,nan,nan,nan,VLMC Spp1 Hs3st6&Adamts2>=64.94580078125&Flt1>=17.634525299072266
Vip Arhgap36 Hmcn1,0.680672269,14022,19,114,81,3,,Npy2r,Pld5,Pxdc1,nan,nan,nan,Vip Arhgap36 Hmcn1&Npy2r>=164.4407958984375&Pld5>=1.0911850929260254&Pxdc1>=63.84627151489258
Vip Chat Htr1f,0.667396061,14050,9,116,61,2,,Tac2,Trpc6,nan,nan,nan,nan,Vip Chat Htr1f&Tac2>=5688.74560546875&Trpc6>=203.77593994140625
